g_m,g_T,g_r,g_q,g_sigma,g_eurocall
1.691708098,1.855430371,0.006954068,0.049622549,1.130889901,0.385722248
4.840262057,0.033387206,0.079354224,0.038415685,0.053910699,0
0.824239406,0.906049842,0.019072146,0.020929128,0.80887069,0.361855693
0.333507992,1.74455063,0.045136714,0.024378406,1.441392064,0.788806389
2.249530484,1.029319254,0.022937292,0.015917749,0.651896359,0.05098933
1.090864496,1.097130099,0.057236847,0.007215895,0.137117029,0.042977467
1.421645537,1.085828562,0.029338401,0.042583209,1.183213924,0.348503762
3.504616207,1.557715781,0.000791317,0.046911499,0.614101686,0.022230116
3.327436135,1.160810368,0.022937292,0.01707098,1.480312293,0.311498392
4.936288181,0.858481319,0.009926614,0.005844621,1.44721439,0.146443843
4.880884745,1.185393748,0.024528144,0.016323064,0.737093494,0.015214348
0.684009789,0.783056075,0.005778311,0.033205605,0.187838162,0.294159455
4.482636052,0.823867651,0.031788634,0.009059243,0.632335505,0.001793882
2.500963245,1.890477767,0.029688947,0.031338927,0.94760483,0.244277013
0.460482042,0.967474472,0.056218842,0.000965413,1.289545156,0.678823375
4.113769153,1.043865382,0.028325645,0.002977772,0.945818401,0.060051111
2.448335768,1.460510671,0.063017168,0.025098109,1.013882453,0.23713927
2.385875197,0.783996633,0.062392558,0.037652587,0.928510375,0.090283199
1.247592618,0.027604684,0.051823443,0.04510331,1.667490232,0.037082123
1.037879434,0.448245223,0.011222197,0.033823803,1.702786953,0.411611569
4.607037068,1.183841038,0.034134148,0.02136049,0.06330459,2.33E-109
1.10933898,0.974247077,0.056663151,0.041948764,1.253776395,0.422347742
2.757449934,0.451060037,0.010707322,0.002347163,0.363400759,1.52E-06
0.384673686,1.504912984,0.016815851,0.033588005,1.615504195,0.769264946
2.374052328,1.032207684,0.028504268,0.008884842,1.449716469,0.340315846
2.17232651,1.308863637,0.006373619,0.034517059,0.879340691,0.158891344
4.9022338,0.346677539,0.003711603,0.003312909,1.961821884,0.087818059
3.245488722,0.03741069,0.071495612,0.048240089,0.586561649,3.30E-27
0.332373447,0.757344546,0.006516187,0.028368169,1.161420325,0.686290385
4.913984426,0.413177511,0.012913274,0.040178639,1.752696018,0.076906596
4.444697959,1.776727722,0.062237078,0.005592912,0.144030511,1.09E-14
1.247592618,0.197249263,0.076009073,0.025336234,0.31845533,0.004644611
1.306338472,0.807148175,0.064242902,0.031760037,1.041247004,0.278069155
2.178301645,0.251134223,0.076307928,0.026370677,0.528337069,0.000212357
3.756794021,0.949354123,0.035745115,0.031054326,0.93205349,0.051689431
3.168599983,0.71252967,0.053235154,0.034741084,0.960438777,0.047722207
2.347592189,0.100200077,0.019901384,0.013741065,1.919412047,0.03272543
3.258156158,0.705191199,0.033993276,0.017499256,1.220030436,0.105205177
1.722830244,0.414712814,0.048690884,0.002608506,1.810864331,0.297757734
4.601045196,0.866172357,0.003901051,0.008895647,0.475289349,6.32E-05
4.539008833,1.732204476,0.035218387,0.014085642,1.154699,0.22812003
2.608934102,0.012869527,0.003793588,0.000470365,0.894965772,3.03E-23
1.873584374,1.54891912,0.047638829,0.024499599,0.58292199,0.105537914
4.214677085,1.275130465,0.022729554,0.013603424,0.531641308,0.00338401
3.239996281,0.040440927,0.038647267,0.036978163,1.050453127,8.41E-10
3.832281229,0.407552075,0.016074384,0.027859409,1.194695938,0.021671114
4.932582019,0.629900408,0.006954068,0.025523977,0.297273895,3.46E-13
1.302318834,0.442049788,0.007087008,0.048738316,0.175937994,0.000341783
4.743539851,0.298169354,0.058100263,0.002100026,0.984483978,0.000687386
4.774408901,1.105709892,0.024423313,0.045613023,1.028403617,0.064623741
1.491890634,0.731606784,0.04870118,0.013446191,0.994774542,0.210919908
2.205016353,0.182439761,0.074387191,0.033838586,0.213374651,6.32E-20
3.325163536,1.912443799,0.064561036,0.027643451,1.952200971,0.668577107
1.421388139,1.270771811,0.060951269,0.041950091,0.804083136,0.235574116
2.937636982,1.275130465,0.013429307,0.03809557,0.244560062,3.02E-06
2.637877248,1.208755448,0.028212902,0.03810067,1.807670144,0.485824005
3.82676547,0.012869527,0.006516187,0.025540796,1.181387878,1.67E-25
4.517509967,0.110436514,0.063628139,0.026031026,0.635236996,3.16E-14
4.81710779,0.974247077,0.005133516,0.047541251,1.199726059,0.089205999
1.161085926,0.9591399,0.035304002,0.011505735,1.702786953,0.563531634
3.787478292,1.732204476,0.014732098,0.000607971,0.213790751,1.80E-07
0.594364481,0.006260173,0.077944869,0.017099013,1.526735364,0.405818591
4.159746441,0.162424401,0.027811453,0.021166312,1.575496881,0.005346487
2.561147505,1.474963862,0.039033142,0.028368169,0.930277514,0.182178456
4.264206166,0.1364588,0.033033145,0.00292414,1.837235745,0.007928513
3.908231737,0.48234933,0.046702499,0.024611121,0.830112013,0.003463754
2.07579189,1.852103381,0.039330943,0.001662277,0.191912057,0.000658246
3.363720154,0.855975396,0.017257388,0.037652587,0.401537126,7.96E-05
2.24120755,1.611299591,0.065839902,0.030528164,0.764536545,0.158268558
2.892028739,1.056964658,0.008929481,0.003402641,1.754526416,0.42579964
0.235764629,1.348489095,0.007492101,0.005096132,1.414191875,0.826817831
0.330597311,1.094180251,0.004155946,0.026464091,0.860075331,0.668851559
1.311523122,0.406178097,0.076050394,0.010801395,1.938192169,0.396038093
0.476693742,0.604211575,0.022807385,0.032532222,0.209089249,0.510365924
2.350775965,0.141493068,0.01747503,0.031004217,1.112227132,0.004691352
3.405041301,1.002844791,0.032496291,0.000783955,1.624189726,0.330441693
0.624264793,1.281045569,0.013756131,0.013086886,1.575245614,0.698833371
0.964332266,0.175414166,0.043300308,0.0393741,0.728844851,0.13718793
0.226459411,0.377364634,0.059067928,0.011568057,1.981214625,0.800493355
0.835356901,0.628116104,0.029155417,0.040508376,0.29410027,0.182326622
4.107739184,0.100200077,0.029997932,0.04168261,0.50919644,3.14E-20
4.539008833,0.896669222,0.036006431,0.019467251,0.501600757,0.00021173
1.224927021,1.29491014,0.015361168,0.044493517,1.513274147,0.531522583
1.781493686,0.055344714,0.003007533,0.031338927,1.414191875,0.00727133
0.23742008,1.45297497,0.053877164,0.008614258,1.872356281,0.880979148
1.902161585,1.549328829,0.072027156,0.049622549,1.85381388,0.620091363
0.30373977,1.82714706,0.04095047,0.046177099,0.948717105,0.692776056
2.711507232,0.834718597,0.050273648,0.044417742,0.235947543,1.40E-07
0.908145593,0.875358609,0.070421979,0.004264302,0.219519749,0.167144761
3.223317104,0.83350016,0.030896147,0.039110905,0.948717105,0.056705966
0.580294627,0.301175404,0.047723956,0.036295823,0.476835975,0.418404417
4.007444108,1.498512569,0.049665287,0.017921456,1.814731716,0.514754868
4.695812802,0.003658504,0.029155417,0.011659136,1.32818401,6.13E-85
3.878889259,1.353037043,0.0782947,0.004158136,0.482863459,0.004482498
1.315094948,0.141438583,0.005929758,0.036739667,1.383653373,0.10948567
0.861148339,0.455192329,0.0317485,0.04060217,1.535884028,0.431783521
1.41691671,0.311296506,0.018067184,0.02745574,1.996319885,0.320509557
4.047446266,1.084535575,0.009965387,0.010801395,1.28616324,0.176637415
1.428297763,0.98269393,0.007639835,0.039965805,1.68922682,0.497510717
4.098794444,0.727574706,0.03399382,0.046911499,1.63447008,0.188981551
4.850934967,0.091494089,0.012474777,0.004972696,0.843261805,2.61E-11
3.615797301,1.273438108,0.014732098,0.022612281,1.355033546,0.263932723
3.022406244,0.086383923,0.055267078,0.049070159,1.522100526,0.001661149
4.861120564,1.574406087,0.0782947,0.023583059,1.881368199,0.532182038
2.092968411,1.532476454,0.058866505,0.009368947,1.624375498,0.565827477
3.06764612,0.166235645,0.071495612,0.039343789,1.682165897,0.024871924
4.524297948,1.975628709,0.063729218,0.029395532,1.921500938,0.629435492
4.18500464,0.76134711,0.03371997,0.039920227,0.429380834,1.08E-05
3.504880171,0.632164947,0.075998688,0.031962619,0.93882291,0.026922856
4.403189147,1.275130465,0.034615266,0.036068948,0.41771226,0.000208324
1.884569139,1.380996094,0.044795931,0.021076995,1.989026236,0.659178564
1.329734398,0.793082737,0.073819828,0.047245831,1.454942959,0.399484557
4.98597275,1.056964658,0.072242573,0.023457321,1.167844616,0.103584989
4.052461368,0.484573264,0.039330943,0.011323004,1.261924448,0.039880669
3.9208631,1.575188591,0.073962116,0.033082443,1.076321463,0.190385734
0.641724891,0.999541272,0.029443872,0.016181884,1.767100974,0.693460361
0.332373447,1.495673634,0.039648961,0.009966619,0.696502523,0.690322096
1.320077836,1.56361576,0.062477382,0.036978163,1.444486302,0.555933699
2.17527239,1.921489116,0.039476913,0.024499599,1.134552532,0.384737936
1.335848109,1.503175538,0.045699241,0.044873084,1.520170681,0.557637672
4.680335756,1.000463794,0.067727211,0.043362514,0.114647217,4.15E-42
2.030878172,1.569907307,0.073084375,0.029782956,1.752545593,0.604801539
4.808264816,0.585492616,0.078001745,0.047553297,0.445299783,3.74E-07
1.661952938,1.013303315,0.078090129,0.018257869,0.830112013,0.183478557
3.930790109,1.924116479,0.013718474,0.0393741,1.889255026,0.599553586
2.240510232,0.06229717,0.040377962,0.04779804,0.126467263,2.93E-147
1.519972024,0.000601949,0.055267078,0.006102717,1.925735265,2.54E-21
4.574557286,1.799853547,0.015568908,0.027479639,0.954862592,0.127919276
3.23158482,0.915132731,0.029310958,0.027732458,1.862450819,0.386218854
3.363720154,0.066997594,0.061803711,0.028759684,1.76171959,0.000999913
4.705376695,1.130661607,0.03573021,0.022539857,1.178830562,0.123165193
0.923610092,0.578398342,0.022463535,0.034114063,0.093448967,0.07412652
3.132634907,1.063014145,0.010618818,0.00467846,1.405154668,0.270270228
4.175042428,0.33725906,0.049986608,0.020599596,0.603006306,3.94E-06
1.607502518,1.160810368,0.027520185,0.024611121,1.055556284,0.292012092
0.34640941,0.18302085,0.011261643,0.010518796,1.439635501,0.658437102
0.262123848,1.368867194,0.017341349,0.010870661,0.201646377,0.729254854
3.405041301,1.275687271,0.069425339,0.031597594,0.33669343,0.000176204
3.642846159,1.572766541,0.068366187,0.021207736,1.386268672,0.357890664
0.306300494,1.991257317,0.011043834,0.049176464,1.044994412,0.693301991
1.428059379,1.017377218,0.038949121,0.027534867,0.746204002,0.177215218
2.500963245,1.440161577,0.056026262,0.005601296,1.444486302,0.439909455
0.699923635,1.594078145,0.01976941,0.00995267,0.364943804,0.349951175
0.491790017,0.404273477,0.030179129,0.040187064,1.325749759,0.560261465
3.787478292,0.807148175,0.05227527,0.003453885,0.100773447,1.90E-48
1.862479262,1.569115313,0.021962192,0.019574616,0.26306531,0.005068078
3.261553724,1.242158943,0.024221091,0.01736223,0.99269518,0.130760725
1.379570871,1.912443799,0.045699241,0.036978163,0.677073978,0.248576884
4.484066073,0.601726139,0.071097825,0.01938239,0.804083136,0.003835218
4.582605758,1.386392106,0.010259342,0.024611121,0.140814044,2.52E-22
4.850934967,1.898145692,0.049986608,0.031278089,1.319471351,0.319966002
3.642846159,0.731606784,0.009368555,0.016415727,0.421723497,2.65E-05
1.902161585,1.732204476,0.005600025,0.044096717,0.648949363,0.121625361
3.545957846,1.474963862,0.057350269,0.046780551,1.177343098,0.225092608
0.538285965,0.141493068,0.047875068,0.004467846,0.091979582,0.464716087
2.877567669,0.807148175,0.031963533,0.044633405,1.886588512,0.369672046
4.159457451,1.98267269,0.060618767,0.041029072,0.876933581,0.131777931
3.094263496,0.992622119,0.07314649,0.018835119,0.687337336,0.027444548
1.303963505,1.439979514,0.000927764,0.029391725,0.06330459,5.22E-07
4.007444108,0.95529396,0.06897439,0.030364612,1.013882453,0.068941414
3.090571796,1.433865005,0.041633965,0.0387747,0.881320786,0.117606994
1.072189831,0.823337377,0.021458268,0.032185587,1.394296358,0.440461681
3.237755544,0.030257416,0.050591501,0.021466648,1.504297182,3.46E-07
1.781135206,0.628116104,0.058866505,0.010711499,0.528337069,0.024188645
3.563577878,0.218090373,0.05417931,0.043617829,0.452588483,6.08E-11
1.590522947,1.467529481,0.013475178,0.0066267,0.875233532,0.271912685
3.787478292,0.245810614,0.058041801,0.011696101,1.268559016,0.00756241
3.405041301,0.151053988,0.024596929,0.046528359,1.807670144,0.019969317
1.569228541,0.655759978,0.064561036,0.040187064,0.051950213,1.24E-27
2.179693924,1.549328829,0.061563311,0.031004217,0.328592403,0.008111911
4.466762326,1.611299591,0.024948099,0.044913363,1.067297539,0.151020741
0.665915764,1.816481252,0.063729218,0.018835119,0.371501944,0.405716648
3.666628598,0.847439025,0.023724131,0.038830222,1.461164944,0.190129819
4.932582019,0.191457101,0.031230314,0.003470577,0.242375672,5.90E-53
1.66073135,0.769745461,0.020367801,0.001248753,1.218388859,0.267600285
1.442696039,1.081755914,0.078815006,0.02745574,1.188156667,0.369364788
1.302318834,1.468370113,0.05845562,0.046535448,1.156634192,0.426441286
3.66275463,1.729415135,0.073339899,0.027643451,1.458439987,0.418778912
4.057744852,0.579692824,0.052973916,0.044956677,1.160069388,0.039175899
2.24120755,1.499637048,0.0016671,0.000468123,1.753976616,0.592470586
4.861120564,1.645153574,0.056218842,0.040026092,1.57646276,0.391306186
1.124432945,1.33644713,0.066198139,0.00299886,1.849845433,0.707508515
1.828976881,1.414015865,0.069425339,0.049528256,0.096244444,6.48E-09
3.895460132,1.437719177,0.057581888,0.021529928,1.529075678,0.378047878
4.529719457,0.260737453,0.05227527,0.003216566,1.890243453,0.048733259
2.558599481,0.972124007,0.006593145,0.014406764,1.461164944,0.303870695
0.623393782,1.317197195,0.005544085,0.037571325,0.746204002,0.456456765
3.227052134,0.420127288,0.062176094,0.01079007,1.833277682,0.166764058
1.299507844,0.562218428,0.026090771,0.006605273,0.875233532,0.17092727
3.106691261,1.665787579,0.047638829,0.017133831,1.684433562,0.539669785
0.410088495,0.406178097,0.019376518,0.017499256,0.334548492,0.586044169
1.172891696,0.690715813,0.039480171,0.044235133,0.315970067,0.044910549
4.337140026,0.406765862,0.059067928,0.048357985,1.93577138,0.128197823
2.616408438,1.634093096,0.00183736,0.047553297,1.652611206,0.501816494
1.141663846,0.034148446,0.041789736,0.029661986,1.343385485,0.049633082
4.701535129,0.668662081,0.033547486,0.01938239,1.337044986,0.075658458
4.232113898,1.777039128,0.042697208,0.010665338,1.626655923,0.492873253
2.402879289,0.715672953,0.034538444,0.035737882,1.482649468,0.242857943
1.442696039,0.072008702,0.008026527,0.044096717,0.763915725,0.003488981
3.500813891,1.300251601,0.020061607,0.047233493,0.303124197,1.41E-05
2.683492141,0.413177511,0.058866505,0.049481067,0.840647743,0.011436013
0.330597311,1.883315533,0.002580162,0.014742726,1.705691416,0.843978265
1.55903479,0.813364702,0.060988972,0.0297372,0.437360882,0.034697941
4.145683372,1.08050392,0.068942899,0.047877077,1.948893873,0.424586755
0.306904521,1.096309648,0.013374607,0.01832161,1.441565475,0.764654693
0.966389088,1.45511527,0.071026367,0.023685367,1.067398268,0.489833697
3.787561288,0.484115205,0.050806048,0.031195957,1.411132899,0.070950373
0.296282347,1.250436293,0.033919046,0.015873573,0.454356758,0.696999752
2.846958627,1.467529481,0.057864835,0.008020868,0.614101686,0.051025869
2.061963639,1.207225042,0.020624073,0.031358246,0.091454701,2.11E-15
0.40968431,0.133697596,0.059134275,0.035423891,0.215327266,0.588817038
4.057744852,0.406178097,0.047284453,0.000390611,0.432197689,2.68E-08
2.717474672,0.493993224,0.056216888,0.02918042,0.582289546,0.001713412
3.895460132,1.898145692,0.076320944,0.032642989,1.940744358,0.639278614
2.061963639,1.588576841,0.014648962,0.014821471,0.844426063,0.20387141
4.322877061,0.112680576,0.078240154,0.005601296,1.751127446,0.00252897
2.795292553,0.572258162,0.045796123,0.041048612,1.153631993,0.07889688
0.373759891,0.21852591,0.03574486,0.044947172,0.366965936,0.619374199
3.910036551,0.33725906,0.032403129,0.012070899,1.574893168,0.050677961
4.073919864,1.222781223,0.0444658,0.033417047,0.476835975,0.001276494
4.354488848,1.603542661,0.065347942,0.019282754,1.507042484,0.390110941
2.210151879,0.666916795,0.071390957,0.040468855,0.984483978,0.098237331
1.515999437,1.743144909,0.023923642,0.012711464,1.25438555,0.4983799
3.584122984,0.067261674,0.060191888,0.0011763,1.43939351,5.81E-05
2.205016353,0.288870784,0.04870118,0.00623381,0.972639425,0.022571725
3.672254011,1.62203749,0.018407053,0.019791353,0.175640884,1.92E-10
3.723997648,0.407420613,0.0444658,0.03299842,0.315970067,2.32E-12
4.444697959,1.43492486,0.065454497,0.02960704,0.363966338,0.000105606
1.66073135,1.024809339,0.032442906,0.030163139,1.481802794,0.417607428
1.518522087,0.348674747,0.034134148,0.004797462,1.338889362,0.179503934
3.603830285,1.065915521,0.03741985,0.01938239,0.475289349,0.001403731
3.642846159,0.273553635,0.025812699,0.043617829,1.179623933,0.007199648
1.515999437,0.74268806,0.047632466,0.020929128,0.80887069,0.143829151
4.29705577,0.166235645,0.065898895,0.042583209,0.363400759,1.49E-24
3.168599983,0.946456374,0.033707973,0.025336234,1.862450819,0.403157116
3.61768978,1.965957495,0.038895326,0.023794971,1.667490232,0.555191503
4.351703658,1.349151408,0.038348151,0.009994795,1.8363543,0.474958164
3.82676547,1.084535575,0.03310791,0.026078807,0.831663108,0.040909721
1.576429465,0.451060037,0.009965387,0.048694153,1.715451053,0.299330434
0.40968431,0.172169352,0.041174243,0.041150614,0.894015746,0.58677157
4.663153782,1.234724453,0.059415239,0.044092853,0.432197689,0.000198793
0.550061051,1.504912984,0.047354784,0.044310282,1.8363543,0.759093414
4.466152855,1.720748578,0.028212902,0.031195957,1.090529531,0.184727047
0.443938607,0.404273477,0.073962116,0.005592912,1.965800824,0.677123188
3.777230755,0.41017727,0.003227771,0.032901895,0.758892189,0.000796961
3.199960743,1.301656012,0.012058609,0.014622098,0.92408595,0.11469261
4.607037068,0.067261674,0.070062442,0.046610762,0.947103868,2.09E-11
2.251455103,1.250755704,0.037751978,0.033602173,1.200521571,0.288032763
4.666787762,1.173331437,0.045018792,0.002100026,0.548893811,0.002367409
4.407927348,0.76134711,0.033033145,0.015917749,0.433254839,8.89E-06
4.994604305,1.516851673,0.01135594,0.031897263,1.325749759,0.236863673
1.831645172,1.017377218,0.036900311,0.035528841,0.76465381,0.119332749
4.846798692,1.246952879,0.037751978,0.015147296,0.967968932,0.070567378
0.49819467,0.066877797,0.073819828,0.045308844,0.182861822,0.50123324
2.616408438,0.657176155,0.060191888,0.03041132,0.244560062,6.07E-08
1.102529306,1.169852571,0.013939124,0.039739609,1.25438555,0.449208187
3.59905873,0.228980968,0.070062442,0.000783955,0.596322791,5.13E-07
4.766093138,1.253840112,0.030384529,0.008562716,1.003362353,0.084768181
2.17527239,0.727846127,0.079543215,0.002977772,0.50919644,0.012288211
4.562563697,1.994409219,0.031212121,0.017374333,1.432926957,0.415373979
1.634067579,0.813631143,0.027312992,0.015068707,1.778384632,0.467657098
1.7686564,0.300295416,0.056648423,0.024442339,1.160069388,0.084098601
3.926735083,0.034672476,0.063729218,0.019427699,1.054673717,9.29E-14
4.928286468,1.275687271,0.033377899,0.010086458,1.003720109,0.083658354
2.279906359,1.630026345,0.060971696,0.026811767,1.325749759,0.424971162
3.838094232,0.379088388,0.03399382,0.031512764,1.135738497,0.013467073
3.814084371,0.32488232,0.031540603,0.048797345,0.476863166,3.71E-08
1.590522947,1.308863637,0.068942899,0.024314122,0.456388344,0.076021677
0.515787486,0.638374511,0.031788634,0.049756544,0.948717105,0.518344919
4.032858283,0.488923447,0.043633824,0.043735563,0.914148336,0.006208158
2.688086808,0.878780101,0.068694003,0.021951528,1.029337388,0.121781142
4.550094318,1.349151408,0.033993276,0.018382072,0.457014266,0.000768561
3.302751032,1.982591735,0.03268778,0.015157286,1.292782534,0.401083803
0.214608093,0.151053988,0.042514635,0.023685367,1.394296358,0.783352514
4.47315509,1.689762738,0.031001942,0.016780224,1.035287436,0.163470271
0.351709492,0.413177511,0.056218842,0.043375505,1.269844553,0.659576235
4.001553952,0.348674747,0.050318757,0.018699608,0.75617987,0.000247294
4.07967402,0.420971399,0.039622353,0.009932262,0.398077668,3.05E-09
0.797989579,1.205663952,0.011261643,0.000607971,0.737093494,0.398140604
4.666787762,1.531985975,0.039480171,0.011505735,1.698953384,0.450852004
1.48225894,1.93700629,0.033863565,0.049814674,1.30692915,0.505802609
4.057744852,0.704015964,0.058803471,0.034774772,1.535884028,0.158764811
0.374181524,0.669432335,0.061906013,0.044465343,0.94364963,0.631888607
2.935453221,1.300251601,0.042514635,0.043392003,1.590441607,0.403328602
2.266373168,1.273283103,0.056069245,0.000468123,0.804083136,0.142888951
0.724588949,1.22794156,0.048320931,0.012712156,1.761744161,0.717189163
4.701501144,0.767744837,0.016609069,0.013814813,0.696502523,0.00227654
3.549963948,0.718885908,0.064561036,0.026370677,1.137236498,0.07622861
1.320077836,1.732823294,0.076050394,0.01676599,0.267477287,0.073608368
0.745384393,0.583186788,0.003020417,0.010428032,0.663634128,0.32556947
1.238684998,0.10077035,0.008924644,0.033415626,0.93205349,0.044195322
2.902448069,1.259968648,0.045933188,0.024946477,1.216075082,0.250312468
2.735839704,0.114806982,0.03371997,0.016126307,0.190987725,8.50E-57
3.549963948,0.858282928,0.065839902,0.00986268,0.494955194,0.000993511
0.345045822,0.501072457,0.041894867,0.0387747,0.191912057,0.642880599
0.572865624,1.127920906,0.041894867,0.022654909,0.786891485,0.512374612
4.184948267,0.580692153,0.066481589,0.039920227,1.886891402,0.20808526
4.625866458,1.449014894,0.003552178,0.029815257,0.744472081,0.028093295
2.04272651,0.963061403,0.016609069,0.02181285,1.694470851,0.434099766
4.484066073,0.168876323,0.026623706,0.049169283,1.676889331,0.007089158
0.730860435,0.612278399,0.045699241,0.013635865,0.44856399,0.307751984
4.928286468,1.569907307,0.066638319,0.041538519,0.950490888,0.096576889
3.064421761,1.740591558,0.017894673,0.030717621,0.857529487,0.140356602
3.390029196,0.95529396,0.028698362,0.021558817,1.56549193,0.282268396
1.862479262,1.317197195,0.027447173,0.031962619,1.258878248,0.365875754
0.23742008,0.171980086,0.058190213,0.036972266,1.875894427,0.763031611
3.957259215,0.666916795,0.029820838,0.01556638,0.213790751,1.08E-16
0.99483199,0.443326342,0.009368555,0.022781542,0.091979582,0.023815321
2.751986308,1.474963862,0.051674508,0.021207736,0.75617987,0.10143444
3.367710183,1.630026345,0.061975239,0.024901303,1.978111614,0.628289035
0.608821144,1.127976585,0.058190213,0.00058777,0.515543531,0.461245845
3.197562457,1.549402194,0.007639835,0.04178184,0.763915725,0.072232395
2.17737732,1.740591558,0.069425339,0.034603346,0.224235241,0.000995663
0.345045822,0.140932668,0.073832211,0.044873084,1.550950495,0.656516136
3.915999352,1.163303041,0.057864835,0.021185269,1.405154668,0.254647169
1.357231934,1.714423317,0.017143877,0.029678544,0.967141739,0.368487463
3.563577878,1.360036379,0.062242096,0.043715694,1.390942199,0.300158288
2.792616643,1.707346255,0.066862377,0.034560171,0.341516839,0.003488817
2.178301645,0.73744229,0.042362329,0.044703607,1.238952969,0.189368271
3.348359094,0.003658504,0.006622038,0.015981447,0.890061515,2.93E-114
3.549383263,0.372468496,0.000540098,0.015880993,1.267660372,0.028724788
2.430477361,1.008657791,0.020367801,0.030372795,1.520397285,0.342285821
2.812150914,0.166235645,0.041281194,0.016757725,1.535884028,0.021066109
2.757449934,1.393642832,0.003552178,0.016908347,0.432197689,0.006472243
0.391619624,0.10730586,0.024596929,0.031720108,1.597433421,0.610670328
4.993281087,1.525403768,0.000791317,0.004467846,0.303124197,1.42E-06
2.553205413,1.167014888,0.072324561,0.004110277,0.611983769,0.044539879
0.470121707,0.536526515,0.04095047,0.026811767,0.204614318,0.525812452
0.382628695,1.137819561,0.008925761,0.039475697,0.421838516,0.57924286
3.910446813,0.321171734,0.070446484,0.014881543,0.474008909,2.63E-08
4.490660637,0.040440927,0.041281194,0.044422196,1.556521032,1.01E-07
4.874223523,0.705191199,0.048194402,0.031720108,0.435766608,1.42E-06
2.860789439,1.052732311,0.004155946,0.020632495,0.941212496,0.101228996
3.715442759,1.104565166,0.071390957,0.021086662,1.268172024,0.197439406
3.405041301,1.112023352,0.029443872,0.033340305,0.093777486,1.20E-37
4.419251478,0.227114499,0.052973916,0.028759684,0.744109425,2.36E-06
4.354488848,1.601122811,0.028698362,0.039110254,0.670550714,0.025115557
1.756919621,1.495596517,0.068487347,0.027859409,0.572275585,0.115441921
0.296282347,1.67274981,0.064924945,0.046107392,1.875894427,0.822433625
